ip, bytes, time, TTL
216.58.222.36,64,66.723,53
216.58.222.36,64,68.144,53
216.58.222.36,64,66.269,53
216.58.222.36,64,66.800,53
216.58.222.36,64,64.018,53
216.58.222.36,64,65.080,53
NA,NA,NA,NA
216.58.222.36,64,67.091,53
216.58.222.36,64,66.273,53
216.58.222.36,64,74.243,53
NA,NA,NA,NA
216.58.222.36,64,66.741,53
216.58.222.36,64,66.945,53
216.58.222.36,64,66.774,53
216.58.222.36,64,70.307,53
216.58.222.36,64,71.213,53
216.58.222.36,64,66.255,53
216.58.222.36,64,63.706,53
216.58.222.36,64,66.789,53
216.58.222.36,64,67.328,53
216.58.222.36,64,68.055,53
216.58.222.36,64,66.480,53
216.58.222.36,64,64.107,53
216.58.222.36,64,63.781,53
216.58.222.36,64,69.982,53
216.58.222.36,64,67.024,53
216.58.222.36,64,103.556,53
216.58.222.36,64,63.984,53
216.58.222.36,64,66.546,53
216.58.222.36,64,71.190,53
216.58.222.36,64,66.987,53
216.58.222.36,64,67.857,53
216.58.222.36,64,63.902,53
216.58.222.36,64,68.562,53
216.58.222.36,64,95.605,53
216.58.222.36,64,99.145,53
216.58.222.36,64,98.346,53
216.58.222.36,64,63.996,53
216.58.222.36,64,63.965,53
216.58.222.36,64,68.150,53
216.58.222.36,64,64.497,53
216.58.222.36,64,66.667,53
216.58.222.36,64,88.726,53
216.58.222.36,64,70.608,53
216.58.222.36,64,71.483,53
216.58.222.36,64,66.740,53
216.58.222.36,64,66.613,53
216.58.222.36,64,63.731,53
216.58.222.36,64,66.549,53
216.58.222.36,64,68.524,53
216.58.222.36,64,67.922,53
216.58.222.36,64,68.515,53
216.58.222.36,64,67.864,53
216.58.222.36,64,67.531,53
216.58.222.36,64,67.405,53
216.58.222.36,64,66.592,53
216.58.222.36,64,66.237,53
216.58.222.36,64,65.022,53
216.58.222.36,64,68.664,53
216.58.222.36,64,66.823,53
216.58.222.36,64,68.296,53
216.58.222.36,64,66.798,53
216.58.222.36,64,67.458,53
216.58.222.36,64,83.080,53
216.58.222.36,64,66.906,53
216.58.222.36,64,65.684,53
216.58.222.36,64,67.490,53
216.58.222.36,64,66.973,53
216.58.222.36,64,87.315,53
216.58.222.36,64,91.004,53
216.58.222.36,64,68.466,53
